Obs,experiment,year,treatment,plot,subplot_id,id,sampling,height_25,height_46,height_67
1,DN14,2014,dense,31,31001,RIL_022,unknown,8.85368247141783,44.3403678481036,42.3873566115208
2,DN14,2014,dense,31,31002,RIL_027,unknown,9.00030392482645,36.324233890899,34.9332910914777
3,DN14,2014,dense,31,31003,B100,unknown,8.60834441520631,44.9300011432655,45.7996363798492
4,DN14,2014,dense,31,31004,RIL_222,unknown,6.99757787976692,25.7479709284585,27.4432117605301
5,DN14,2014,dense,31,31005,RIL_190,unknown,5.16827753448561,24.8119293024737,25.4241484386938
6,DN14,2014,dense,31,31006,RIL_188,unknown,8.89511214959084,22.9971933344855,20.0118724718103
7,DN14,2014,dense,31,31007,RIL_183,unknown,8.6989656310637,30.9972303541971,34.3774894915782
8,DN14,2014,dense,31,31008,A10,unknown,9.76893187283426,16.6075812939169,NA
9,DN14,2014,dense,31,31009,RIL_046,unknown,6.76860057591513,25.3185140426854,24.0051847637095
10,DN14,2014,dense,31,31010,RIL_039,unknown,13.7388632819886,26.311191206542,24.5921525050946
11,DN14,2014,dense,31,31011,RIL_123,unknown,9.1809576533045,33.1150835215424,37.0837765098343
12,DN14,2014,dense,31,31012,A10,unknown,9.76893187283426,16.6075812939169,NA
13,DN14,2014,dense,31,31013,RIL_139,unknown,6.48535252963012,24.9179037495475,23.6829477192672
14,DN14,2014,dense,31,31014,RIL_086,unknown,9.47194239923937,36.1244378552329,32.8209360429028
15,DN14,2014,dense,31,31015,RIL_148,unknown,9.45231136547058,30.9850112752517,31.9138455623206
16,DN14,2014,dense,31,31016,RIL_204,unknown,6.2855319086884,23.9103744935511,25.6432543014251
17,DN14,2014,dense,31,31017,RIL_002,unknown,12.2804953885486,43.6685052185235,40.0751325441071
18,DN14,2014,dense,31,31018,RIL_040,unknown,13.3713599116737,53.1658563781497,47.5739862925294
19,DN14,2014,dense,31,31019,A10,unknown,9.76893187283426,16.6075812939169,NA
20,DN14,2014,dense,31,31020,RIL_157,unknown,11.0451576319009,33.8201241670103,NA
21,DN14,2014,dense,31,31021,B100,unknown,8.60834441520631,44.9300011432655,45.7996363798492
22,DN14,2014,dense,31,31022,RIL_102,unknown,8.58852467261056,31.0671668200887,31.4888680232812
23,DN14,2014,dense,31,31023,RIL_050,unknown,12.2866913019074,44.1149431602856,39.7016218422191
24,DN14,2014,dense,31,31024,RIL_017,unknown,11.0381567624337,40.6578773808214,41.3776186690216
25,DN14,2014,dense,31,31025,RIL_051,unknown,16.1152886107218,55.3375971683228,55.5054048994338
26,DN14,2014,dense,31,31026,RIL_074,unknown,9.36186012808188,31.6690929837772,30.7138036409611
27,DN14,2014,dense,31,31027,RIL_001,unknown,12.8631822550096,51.7586547357404,49.5619538215221
28,DN14,2014,dense,31,31028,RIL_136,unknown,9.31568477259417,27.3201665434648,27.5875445630143
29,DN14,2014,dense,31,31029,RIL_213,unknown,12.1479164891449,55.8186619015692,59.9312802712288
30,DN14,2014,dense,31,31030,RIL_047,unknown,10.1894663259864,31.5370276970658,30.4599330540788
31,DN14,2014,dense,31,31031,RIL_016,unknown,8.88986296637331,35.3879083481427,33.2755796163973
32,DN14,2014,dense,31,31032,A10,unknown,9.76893187283426,16.6075812939169,NA
33,DN14,2014,dense,31,31033,RIL_221,unknown,8.78132148150688,36.7499359391016,35.641959622428
34,DN14,2014,dense,31,31034,RIL_089,unknown,10.7540629449697,44.1916720485728,43.7316109132095
35,DN14,2014,dense,31,31035,RIL_140,unknown,10.3301406123356,37.2771899464746,38.0603759260713
36,DN14,2014,dense,31,31036,RIL_156,unknown,7.59215908034691,33.7596934517893,32.7635144280136
37,DN14,2014,dense,31,31037,RIL_189,unknown,14.500304403341,46.9707656589843,49.2495096558615
38,DN14,2014,dense,31,31038,RIL_135,unknown,7.61672635010368,26.7905578341895,25.5792197433593
39,DN14,2014,dense,31,31039,RIL_062,unknown,11.7885085057756,43.4454615192273,43.2463342210066
40,DN14,2014,dense,31,31040,RIL_044,unknown,10.8161803280491,41.2479168053176,41.3697481015036
41,DN14,2014,dense,31,31041,RIL_150,unknown,8.32336687380329,28.4567957332252,24.4462921686448
42,DN14,2014,dense,31,31042,RIL_007,unknown,10.7297767841332,32.392212917661,28.6978992090712
43,DN14,2014,dense,31,31043,RIL_076,unknown,10.4627195117392,41.8172466228739,41.5984674768072
44,DN14,2014,dense,31,31044,RIL_098,unknown,11.5635788953965,38.6353400015172,36.4353588371209
45,DN14,2014,dense,31,31045,RIL_058,unknown,9.01839417230419,43.1847271570021,38.1472751386069
46,DN14,2014,dense,31,31046,RIL_142,unknown,9.66319842184463,33.4572075359309,32.7527580221516
47,DN14,2014,dense,31,31047,RIL_090,unknown,6.06098554459114,30.2857452790697,40.5065393803984
48,DN14,2014,dense,31,31048,RIL_205,unknown,10.0804729985451,30.0325472647861,28.4633246101935
49,DN14,2014,dense,31,31049,RIL_052,unknown,9.22523353520549,41.1913899126324,40.1599168585353
50,DN14,2014,dense,31,31050,RIL_162,unknown,9.01839417230419,18.5299876878259,19.1376248193103
51,DN14,2014,dense,31,31051,RIL_117,unknown,9.00839931177197,28.3470259241172,29.6396487533522
52,DN14,2014,dense,31,31052,RIL_104,unknown,7.45768070735656,39.7629710519451,43.0636086686571
53,DN14,2014,dense,31,31053,RIL_005,unknown,6.54885521172716,23.6603769583053,16.6217484484237
54,DN14,2014,dense,31,31054,RIL_184,unknown,8.22292077588237,30.6594347639316,30.623932671747
55,DN14,2014,dense,31,31055,RIL_110,unknown,11.613801944357,37.4954898721438,33.5066935807106
56,DN14,2014,dense,31,31056,B100,unknown,8.60834441520631,44.9300011432655,45.7996363798492
57,DN14,2014,dense,31,31057,RIL_055,unknown,15.1831886214236,46.4662779905229,45.5173672793151
58,DN14,2014,dense,31,31058,RIL_171,unknown,7.83327946461698,27.0461978796181,25.216362335997
59,DN14,2014,dense,31,31059,RIL_201,unknown,14.3436880894001,61.6501531067325,55.4698771199211
60,DN14,2014,dense,31,31060,RIL_112,unknown,13.4175352671614,38.558103501892,38.9856092450447
61,DN14,2014,dense,31,31061,RIL_187,unknown,8.87582041236833,37.2795709349963,35.1033885930765
62,DN14,2014,dense,31,31062,RIL_164,unknown,13.4718060095946,32.6410605406939,30.9650876448522
63,DN14,2014,dense,31,31063,RIL_094,unknown,10.4586718182664,49.2952813428088,52.3665601370412
64,DN14,2014,dense,31,31064,RIL_141,unknown,11.1034760678069,34.6719131764077,36.7945659873858
65,DN14,2014,dense,31,31065,RIL_069,unknown,10.0368977055183,41.2187166703831,39.7421408723892
66,DN14,2014,dense,31,31066,RIL_067,unknown,13.4034927131564,41.2523282391914,42.9408042101293
67,DN14,2014,dense,31,31067,RIL_127,unknown,7.7287856732233,35.2324201262163,35.6550152131712
68,DN14,2014,dense,31,31068,RIL_030,unknown,7.9356250361246,34.0414697607076,33.1388526298988
